env_ID,reference_ID,continent,country,region,site_year_ID,EDH35_total,Label_of_control_treatment,Label_of_N_addition_treatment,N_rate,region_N_label,N_rate_cluster,mean_c,sd_c,n_c,mean_t,sd_t,n_t,lnRR,Effect,AEN,Nc,q05,q95,keep
2002_05_20_33.38_48.6,5,Asia,Iran,South Asia,24,29.92584,N0,N72,72,RN,0_100,6.738,,3,10.3,,3,0.42438075,52.86435144,49.47222222,-109.100673022995,0.07061749765,1.28912060785,True
2002_05_20_33.38_48.6,5,Asia,Iran,South Asia,24,29.92584,N0,N108,108,RN,100_200,6.738,,3,10.869,,3,0.478151556,61.30899377,38.25,-73.100673022995,0.07061749765,1.28912060785,True
2002_05_20_33.38_48.6,5,Asia,Iran,South Asia,24,29.92584,N0,N144,144,RN,100_200,6.738,,3,11.448,,3,0.530051897,69.90204809,32.70833333,-37.100673022995,0.07061749765,1.28912060785,True
1998_06_12_41.32__7.73,6,Europe,Portugal,Europe,25,0,N0,N300,300,RN,300_400,8.4918,0.340729035,3,16.8525,0.766605687,3,0.685398022,98.45615771,27.869,118.899326977005,0.1249129257,1.25624785795,True
2017_12_01__22.82__48.42,7,South America,Brazil,South America,26,0,N0,N90,90,RN,0_100,1.93548,0.60932,4,4.0681,0.78854,4,0.742820702,110.185587,23.69577778,-91.100673022995,0.1249129257,1.25624785795,True
2017_12_01__22.82__48.42,7,South America,Brazil,South America,26,0,N0,N90,90,RN,0_100,1.84588,0.39426,4,4.91039,0.57348,4,0.97839724,166.0189178,34.05011111,-91.100673022995,0.1249129257,1.25624785795,True
1996_05_18_32.6_75.08,8,Asia,India,South Asia,27,464.52522,N0,N90,90,RN,0_100,1.95,,3,5.07,,3,0.955511445,160,34.66666667,-91.100673022995,0.096776351,1.1064629539,True
1997_05_15_32.6_75.08,8,Asia,India,South Asia,28,718.62783,N0,N90,90,RN,0_100,2.574,,3,4.167,,3,0.481735243,61.88811189,17.7,-91.100673022995,0.096776351,1.1064629539,True
2019_11_01__37.61__58.64,9,South America,Argentina,South America,29,0,N0,N100,100,RN,100_200,6.814,,3,9.984,,3,0.382004492,46.52186674,31.7,-81.100673022995,0.1249129257,1.25624785795,True
2019_10_24__37.08__59.59,9,South America,Argentina,South America,30,0,N0,N100,100,RN,100_200,7.421,,3,12.981,,3,0.559172931,74.92251718,55.6,-81.100673022995,0.1249129257,1.25624785795,True
2007_06_20_30.93_75.87,10,Asia,India,South Asia,33,47.98039,N0,N90,90,RN,0_100,2.3,,3,4.19,,3,0.599791611,82.17391304,21,-91.100673022995,0.096776351,1.1064629539,True
2007_06_20_30.93_75.87,10,Asia,India,South Asia,33,47.98039,N0,N120,120,RN,100_200,2.3,,3,4.03,,3,0.560857253,75.2173913,14.41666667,-61.100673022995,0.096776351,1.1064629539,True
2007_06_20_30.93_75.87,10,Asia,India,South Asia,33,47.98039,N0,N130,130,RN,100_200,2.3,,3,4.2,,3,0.602175402,82.60869565,14.61538462,-51.100673022995,0.096776351,1.1064629539,True
2007_06_20_30.93_75.87,10,Asia,India,South Asia,33,47.98039,N0,N90,90,RN,0_100,2.44,,3,4.32,,3,0.571257363,77.04918033,20.88888889,-91.100673022995,0.096776351,1.1064629539,True
2007_06_20_30.93_75.87,10,Asia,India,South Asia,33,47.98039,N0,N120,120,RN,100_200,2.44,,3,4.3,,3,0.566616983,76.2295082,15.5,-61.100673022995,0.096776351,1.1064629539,True
2007_06_20_30.93_75.87,10,Asia,India,South Asia,33,47.98039,N0,N130,130,RN,100_200,2.44,,3,4.31,,3,0.568939865,76.63934426,14.38461538,-51.100673022995,0.096776351,1.1064629539,True
2008_06_06_30.93_75.87,10,Asia,India,South Asia,34,48.16055,N0,N90,90,RN,0_100,2.4,,3,4.27,,3,0.57614509,77.91666667,20.77777778,-91.100673022995,0.096776351,1.1064629539,True
2008_06_06_30.93_75.87,10,Asia,India,South Asia,34,48.16055,N0,N120,120,RN,100_200,2.4,,3,4.19,,3,0.557231997,74.58333333,14.91666667,-61.100673022995,0.096776351,1.1064629539,True
2008_06_06_30.93_75.87,10,Asia,India,South Asia,34,48.16055,N0,N130,130,RN,100_200,2.4,,3,4.23,,3,0.566733256,76.25,14.07692308,-51.100673022995,0.096776351,1.1064629539,True
2008_06_06_30.93_75.87,10,Asia,India,South Asia,34,48.16055,N0,N90,90,RN,0_100,2.14,,3,4.03,,3,0.632960547,88.31775701,21,-91.100673022995,0.096776351,1.1064629539,True
2008_06_06_30.93_75.87,10,Asia,India,South Asia,34,48.16055,N0,N120,120,RN,100_200,2.14,,3,3.98,,3,0.62047599,85.98130841,15.33333333,-61.100673022995,0.096776351,1.1064629539,True
2008_06_06_30.93_75.87,10,Asia,India,South Asia,34,48.16055,N0,N130,130,RN,100_200,2.14,,3,4.22,,3,0.679029299,97.19626168,16,-51.100673022995,0.096776351,1.1064629539,True
2009_05_27_30.93_75.87,10,Asia,India,South Asia,35,1449.53689,N0,N90,90,RN,0_100,3.4,,3,5.15,,3,0.415221283,51.47058824,19.44444444,-91.100673022995,0.096776351,1.1064629539,True
2009_05_27_30.93_75.87,10,Asia,India,South Asia,35,1449.53689,N0,N120,120,RN,100_200,3.4,,3,4.96,,3,0.377630309,45.88235294,13,-61.100673022995,0.096776351,1.1064629539,True
2009_05_27_30.93_75.87,10,Asia,India,South Asia,35,1449.53689,N0,N130,130,RN,100_200,3.4,,3,5.2,,3,0.424883194,52.94117647,13.84615385,-51.100673022995,0.096776351,1.1064629539,True
2009_05_27_30.93_75.87,10,Asia,India,South Asia,35,1449.53689,N0,N90,90,RN,0_100,5.43,,3,6.59,,3,0.193614215,21.36279926,12.88888889,-91.100673022995,0.096776351,1.1064629539,True
2009_05_27_30.93_75.87,10,Asia,India,South Asia,35,1449.53689,N0,N120,120,RN,100_200,5.43,,3,6.52,,3,0.182935242,20.07366483,9.083333333,-61.100673022995,0.096776351,1.1064629539,True
2009_05_27_30.93_75.87,10,Asia,India,South Asia,35,1449.53689,N0,N130,130,RN,100_200,5.43,,3,6.47,,3,0.175236975,19.15285451,8,-51.100673022995,0.096776351,1.1064629539,True
1995_10_18__37.75__58.3,12,South America,Argentina,South America,37,0,N0,N120,120,RN,100_200,6.1,,3,12.14,,3,0.688217014,99.01639344,50.33333333,-61.100673022995,0.1249129257,1.25624785795,True
1996_10_20__37.75__58.3,12,South America,Argentina,South America,38,0,N0,N140,140,RN,100_200,6.98,,3,11.13,,3,0.466595249,59.45558739,29.64285714,-41.100673022995,0.1249129257,1.25624785795,True
1999_10_10__37.75__58.3,13,South America,Argentina,South America,39,0,N0,N90,90,RN,0_100,7.241,,3,10.557,,3,0.377029829,45.79477973,36.84444444,-91.100673022995,0.1249129257,1.25624785795,True
1999_10_10__37.75__58.3,13,South America,Argentina,South America,39,0,N0,N90,90,RN,0_100,8.961,,3,10.858,,3,0.192020308,21.16951233,21.07777778,-91.100673022995,0.1249129257,1.25624785795,True
2000_10_19__37.75__58.3,13,South America,Argentina,South America,40,0.17735,N0,N90,90,RN,0_100,5.883,,3,8.412,,3,0.357592422,42.98827129,28.1,-91.100673022995,0.096776351,1.1064629539,True
2000_10_19__37.75__58.3,13,South America,Argentina,South America,40,0.17735,N0,N90,90,RN,0_100,6.481,,3,9.036,,3,0.332341779,39.42292856,28.38888889,-91.100673022995,0.096776351,1.1064629539,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,4.44444,,6,7.73946,,6,0.554678041,74.13802414,14.97736364,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,6.13027,,6,9.1954,,6,0.405464564,49.99991844,13.93240909,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,5.90038,,6,9.34866,,6,0.460216262,58.44165969,15.674,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,6.55172,,6,10.0383,,6,0.426680167,53.21625466,15.84809091,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,7.16475,,6,12.3755,,6,0.546545543,72.72758994,23.68522727,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,7.39464,,6,13.2184,,6,0.580854385,78.75650471,26.47163636,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,7.50958,,6,14.2529,,6,0.640780856,89.79623361,30.65145455,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,4.44444,,6,10.0383,,6,0.8147539,125.8619759,25.42663636,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,6.13027,,6,9.65517,,6,0.454254729,57.49991436,16.02227273,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,5.90038,,6,10.8812,,6,0.612019774,84.41524105,22.64009091,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,6.55172,,6,11.5326,,6,0.565450197,76.02400591,22.64036364,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,7.16475,,6,13.295,,6,0.618214856,85.56125475,27.86477273,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,7.39464,,6,14.7893,,6,0.693148533,100.0002705,33.61209091,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,7.50958,,6,15.7088,,6,0.738041526,109.1834696,37.26918182,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,4.44444,,6,7.96935,,6,0.583949057,79.31055431,16.02231818,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,6.13027,,6,9.1954,,6,0.405464564,49.99991844,13.93240909,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,5.90038,,6,9.88506,,6,0.516007771,67.5325996,18.11218182,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,6.55172,,6,11.0345,,6,0.521299118,68.42142216,20.37627273,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,7.16475,,6,12.7969,,6,0.580029785,78.60916292,25.60068182,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,7.39464,,6,13.3716,,6,0.592377641,80.82827562,27.168,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,7.50958,,6,15.977,,6,0.754970649,112.7549077,38.48827273,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,4.44444,,6,10.5747,,6,0.866810479,137.9309879,27.86481818,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,6.13027,,6,9.80843,,6,0.470003425,59.99996738,16.71890909,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,5.90038,,6,10.9195,,6,0.615533426,85.06435179,22.81418182,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,6.55172,,6,11.7241,,6,0.581918942,78.94690249,23.51081818,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,7.16475,,6,12.682,,6,0.571010496,77.00547821,25.07840909,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,7.39464,,6,14.1762,,6,0.650809089,91.70912986,30.82527273,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,14,North America,USA,North America_Rainfed,41,0,N0,N220,220,RN,200_300,7.50958,,6,16.1303,,6,0.764519952,114.7963002,39.18509091,38.899326977005,0.1249129257,1.25624785795,True
2019_05_09_31.58_105.05,15,Asia,China,Southwest China,42,26.9304,N0,N180,180,RN,100_200,6.9866,0.260032788,3,7.65147,0.130025054,3,0.090903757,9.516359889,3.693722222,-1.10067302299495,0.07061749765,1.28912060785,True
2019_05_09_31.58_105.05,15,Asia,China,Southwest China,42,26.9304,N0,N120,120,RN,100_200,7.22252,0.222897618,3,7.94102,0.501497991,3,0.094837808,9.948051373,5.9875,-61.100673022995,0.07061749765,1.28912060785,True
2019_05_09_31.58_105.05,15,Asia,China,Southwest China,42,26.9304,N0,N180,180,RN,100_200,7.22252,0.222897618,3,8.48794,0.631523045,3,0.16144241,17.52047762,7.030111111,-1.10067302299495,0.07061749765,1.28912060785,True
2019_05_09_31.58_105.05,15,Asia,China,Southwest China,42,26.9304,N0,N120,120,RN,100_200,7.41555,0.817268174,3,8.20912,0.390057842,3,0.101666585,10.70143145,6.613083333,-61.100673022995,0.07061749765,1.28912060785,True
2019_05_09_31.58_105.05,15,Asia,China,Southwest China,42,26.9304,N0,N180,180,RN,100_200,7.41555,0.817268174,3,8.36997,0.427210332,3,0.121071153,12.87052208,5.302333333,-1.10067302299495,0.07061749765,1.28912060785,True
2017_03_30_31.03_104.68,16,Asia,China,Southwest China,43,37.55787,N0,N150,150,RN,100_200,10.0808,0.151571766,3,12.2108,0.151554446,3,0.191688181,21.12927545,14.2,-31.100673022995,0.07061749765,1.28912060785,True
2017_03_30_31.03_104.68,16,Asia,China,Southwest China,43,37.55787,N0,N150,150,RN,100_200,7.66485,0.707282947,3,9.61987,0.252550328,3,0.227185808,25.50630475,13.03346667,-31.100673022995,0.07061749765,1.28912060785,True
2018_04_06_31.03_104.68,16,Asia,China,Southwest China,44,3.68369,N0,N150,150,RN,100_200,6.15788,0.202078368,3,6.94621,0.151554446,3,0.120463625,12.80197081,5.255533333,-31.100673022995,0.07061749765,1.28912060785,True
2019_03_24_31.03_104.68,16,Asia,China,Southwest China,45,0,N0,N150,150,RN,100_200,5.52102,2.323805966,3,6.95102,0.959850596,3,0.230325786,25.90101105,9.533333333,-31.100673022995,0.1249129257,1.25624785795,True
2019_03_24_31.03_104.68,16,Asia,China,Southwest China,45,0,N0,N150,150,RN,100_200,4.88425,1.970207794,3,5.64341,0.656759025,3,0.14447275,15.54302093,5.061066667,-31.100673022995,0.1249129257,1.25624785795,True
2000_05_04_42.02__93.75,17,North America,USA,North America_Rainfed,46,0,N0,N180,180,RN,100_200,6.084454194,0.541935484,4,9.705612903,0.541935484,4,0.466967342,59.5149309,20.11754838,-1.10067302299495,0.1249129257,1.25624785795,True
2001_05_09_42.02__93.75,17,North America,USA,North America_Rainfed,47,0,N0,N180,180,RN,100_200,7.360694194,0.686614194,4,9.755470968,0.637316129,4,0.281674004,32.53465924,13.30431541,-1.10067302299495,0.1249129257,1.25624785795,True
2006_05_12_45.39__75.57,19,North America,Canada,North America_Rainfed,51,1.40804,N0,N180,180,RN,100_200,6.593548387,,4,8.4,,4,0.242140052,27.39726028,10.03584229,-1.10067302299495,0.07061749765,1.28912060785,True
2007_05_13_45.39__75.57,19,North America,Canada,North America_Rainfed,52,0,N0,N180,180,RN,100_200,5.6,,4,9.664516129,,4,0.545694449,72.58064516,22.58064516,-1.10067302299495,0.1249129257,1.25624785795,True
2008_05_12_45.39__75.57,19,North America,Canada,North America_Rainfed,53,0,N0,N180,180,RN,100_200,8.851612903,,4,10.47741935,,4,0.168622712,18.36734689,9.032258039,-1.10067302299495,0.1249129257,1.25624785795,True
2009_05_10_45.39__75.57,19,North America,Canada,North America_Rainfed,54,0,N0,N180,180,RN,100_200,4.967741935,,4,8.68,,4,0.558056131,74.72727274,20.62365592,-1.10067302299495,0.1249129257,1.25624785795,True
2010_05_10_45.39__75.57,19,North America,Canada,North America_Rainfed,55,0,N0,N180,180,RN,100_200,8.4,,4,12.82580645,,4,0.423227564,52.68817202,24.58781361,-1.10067302299495,0.1249129257,1.25624785795,True
2013_08_02_6.67__1.57,20,Africa,Ghana,West Africa,56,0,N0,N45,45,RN,0_100,0.60202,,3,0.80404,,3,0.289358352,33.55702468,4.489333333,-136.100673022995,0.1249129257,1.25624785795,True
2013_04_02_6.67__1.57,20,Africa,Ghana,West Africa,56,0.19057,N0,N45,45,RN,0_100,2.32105,,3,3.11053,,3,0.29277346,34.01391612,17.544,-136.100673022995,0.096776351,1.1064629539,True
2017_11_04__37.91__58.6,21,South America,Argentina,South America,57,3.1073,N0,N150,150,RN,100_200,10.034,0.013856406,3,11.123,1.037498434,3,0.103035711,10.85309946,7.26,-31.100673022995,0.096776351,1.1064629539,True
2017_11_04__37.91__58.6,21,South America,Argentina,South America,57,3.1073,N0,N150,150,RN,100_200,9.207,1.524204711,3,10.332,1.103316364,3,0.115281811,12.21896383,7.5,-31.100673022995,0.096776351,1.1064629539,True
2017_10_30__38.49__58.71,21,South America,Argentina,South America,58,0,N0,N150,150,RN,100_200,4.622,0.498830633,3,5.454,0.625270342,3,0.165521773,18.00086543,5.546666667,-31.100673022995,0.1249129257,1.25624785795,True
2017_10_30__38.49__58.71,21,South America,Argentina,South America,58,0,N0,N150,150,RN,100_200,3.09,0.531739598,3,6.149,0.145492268,3,0.688118376,98.99676375,20.39333333,-31.100673022995,0.1249129257,1.25624785795,True
2017_11_02__37.88__57.84,21,South America,Argentina,South America,59,0.1865,N0,N150,150,RN,100_200,5.654,0.510954988,3,8.713,1.016713824,3,0.432452904,54.10328971,20.39333333,-31.100673022995,0.096776351,1.1064629539,True
2005_04_29_40.06__88.23,22,North America,USA,North America_Rainfed,60,0.71053,N0,N224,224,RN,200_300,7.57855,,4,8.76988,,4,0.146001235,15.7197617,5.3184375,42.899326977005,0.096776351,1.1064629539,True
2005_04_29_40.06__88.23,22,North America,USA,North America_Rainfed,60,0.71053,N0,N224,224,RN,200_300,4.664828,,4,6.243692,,4,0.291520711,33.84613538,7.0485,42.899326977005,0.096776351,1.1064629539,True
1994_06_28_10.28_9.82,24,Africa,Nigeria,West Africa,64,0,N0,N30,30,RN,0_100,0.955590698,,4,1.164290698,,4,0.197537656,21.83989447,6.956666667,-151.100673022995,0.1249129257,1.25624785795,True
1994_06_28_10.28_9.82,24,Africa,Nigeria,West Africa,64,0,N0,N60,60,RN,0_100,0.955590698,,4,1.532674419,,4,0.472439794,60.39026146,9.618062017,-121.100673022995,0.1249129257,1.25624785795,True
1994_06_28_10.28_9.82,24,Africa,Nigeria,West Africa,64,0,N0,N30,30,RN,0_100,1.344302326,,4,1.758476744,,4,0.268572786,30.80961849,13.80581393,-151.100673022995,0.1249129257,1.25624785795,True
1994_06_28_10.28_9.82,24,Africa,Nigeria,West Africa,64,0,N0,N60,60,RN,0_100,1.344302326,,4,2.104151163,,4,0.448036976,56.52365709,12.66414728,-121.100673022995,0.1249129257,1.25624785795,True
1995_06_29_10.28_9.82,24,Africa,Nigeria,West Africa,65,0,N0,N30,30,RN,0_100,1.054351163,,4,1.433232558,,4,0.307006857,35.93502889,12.62937983,-151.100673022995,0.1249129257,1.25624785795,True
1995_06_29_10.28_9.82,24,Africa,Nigeria,West Africa,65,0,N0,N60,60,RN,0_100,1.054351163,,4,1.926534884,,4,0.602797426,82.72231792,14.53639535,-121.100673022995,0.1249129257,1.25624785795,True
1995_06_29_10.28_9.82,24,Africa,Nigeria,West Africa,65,0,N0,N30,30,RN,0_100,1.640569767,,4,2.047976744,,4,0.221808751,24.8332613,13.58023257,-151.100673022995,0.1249129257,1.25624785795,True
1995_06_29_10.28_9.82,24,Africa,Nigeria,West Africa,65,0,N0,N60,60,RN,0_100,1.640569767,,4,2.32677907,,4,0.349441337,41.82749901,11.43682172,-121.100673022995,0.1249129257,1.25624785795,True
2015_03_25__0.52_37.27,25,Africa,Kenya,East Africa,66,0,N0,N80,80,RN,0_100,3.75,,3,4.98913,,3,0.285505706,33.04346667,15.489125,-101.100673022995,0.1249129257,1.25624785795,True
2015_03_25__0.52_37.27,25,Africa,Kenya,East Africa,66,0,N0,N120,120,RN,100_200,3.75,,3,5.25,,3,0.336472237,40,12.5,-61.100673022995,0.1249129257,1.25624785795,True
2015_03_25__0.52_37.27,25,Africa,Kenya,East Africa,66,0,N0,N80,80,RN,0_100,3.09783,,3,4.43478,,3,0.358776143,43.1576297,16.711875,-101.100673022995,0.1249129257,1.25624785795,True
2015_03_25__0.52_37.27,25,Africa,Kenya,East Africa,66,0,N0,N120,120,RN,100_200,3.09783,,3,4.53261,,3,0.380596066,46.31564676,11.9565,-61.100673022995,0.1249129257,1.25624785795,True
2015_10_19__0.52_37.27,25,Africa,Kenya,East Africa,66,0,N0,N80,80,RN,0_100,3.09783,,3,4.82609,,3,0.44333475,55.78937514,21.60325,-101.100673022995,0.1249129257,1.25624785795,True
2015_10_19__0.52_37.27,25,Africa,Kenya,East Africa,66,0,N0,N120,120,RN,100_200,3.09783,,3,4.33696,,3,0.336471775,39.99993544,10.32608333,-61.100673022995,0.1249129257,1.25624785795,True
2015_10_19__0.52_37.27,25,Africa,Kenya,East Africa,66,0,N0,N80,80,RN,0_100,3.42391,,3,4.53261,,3,0.28051476,32.38110815,13.85875,-101.100673022995,0.1249129257,1.25624785795,True
2015_10_19__0.52_37.27,25,Africa,Kenya,East Africa,66,0,N0,N120,120,RN,100_200,3.42391,,3,3.88043,,3,0.125162799,13.33329439,3.804333333,-61.100673022995,0.1249129257,1.25624785795,True
2016_04_03__0.52_37.27,25,Africa,Kenya,East Africa,67,0,N0,N80,80,RN,0_100,2.47826,,3,5.05435,,3,0.712692558,103.9475277,32.201125,-101.100673022995,0.1249129257,1.25624785795,True
