"lnRR","env_group","N_rate","Nc","reference_ID","site_year_ID"
0.44333475,"Normal",80,-100,"25","66"
0.336471775,"Normal",120,-60,"25","66"
0.28051476,"Normal",80,-100,"25","66"
0.125162799,"Normal",120,-60,"25","66"
0.712692558,"Normal",80,-100,"25","67"
0.719123702,"Normal",120,-60,"25","67"
0.615916982,"Normal",80,-100,"25","67"
0.679543061,"Normal",120,-60,"25","67"
0.612178118,"Normal",84,-96,"26","68"
0.510825624,"Normal",168,-12,"26","68"
0.778304989,"Normal",252,72,"26","68"
0.730887509,"Normal",84,-96,"26","68"
0.730887509,"Normal",168,-12,"26","68"
0.951558871,"Normal",252,72,"26","68"
0.672944473,"Normal",84,-96,"26","69"
1.01523068,"Normal",168,-12,"26","69"
1.029619417,"Normal",252,72,"26","69"
0.672944473,"Normal",84,-96,"26","69"
1.071583616,"Normal",168,-12,"26","69"
1.124929597,"Normal",252,72,"26","69"
0.428995605,"Normal",84,-96,"26","70"
0.538996501,"Normal",168,-12,"26","70"
0.559615788,"Normal",252,72,"26","70"
0.46536325,"Normal",84,-96,"26","70"
0.595983432,"Normal",168,-12,"26","70"
0.645744942,"Normal",252,72,"26","70"
0.762140052,"Normal",84,-96,"26","71"
1.019362917,"Normal",168,-12,"26","71"
1.223775432,"Normal",252,72,"26","71"
0.817444897,"Normal",84,-96,"26","71"
1.137078569,"Normal",168,-12,"26","71"
1.309921382,"Normal",252,72,"26","71"
0.666478934,"Normal",84,-96,"26","72"
1.182695406,"Normal",168,-12,"26","72"
1.544197391,"Normal",252,72,"26","72"
0.693147181,"Normal",84,-96,"26","72"
1.304056263,"Normal",168,-12,"26","72"
1.619909212,"Normal",252,72,"26","72"
0.69314718,"Normal",84,-96,"26","73"
0.85105021,"Normal",168,-12,"26","73"
0.947381319,"Normal",252,72,"26","73"
0.679901954,"Normal",84,-96,"26","73"
0.85105021,"Normal",168,-12,"26","73"
0.947381319,"Normal",252,72,"26","73"
0.666478933,"Normal",84,-96,"26","74"
0.53680111,"Normal",168,-12,"26","74"
0.884202417,"Normal",252,72,"26","74"
0.563094052,"Normal",84,-96,"26","74"
0.534923175,"Normal",168,-12,"26","74"
0.840304825,"Normal",252,72,"26","74"
0.071095922,"Normal",70,-110,"27","75"
0.051293294,"Normal",140,-40,"27","75"
0.146603474,"Normal",210,30,"27","75"
0.080852097,"Normal",280,100,"27","75"
0.082691716,"Normal",70,-110,"27","76"
0.173663494,"Normal",140,-40,"27","76"
0.082691716,"Normal",210,30,"27","76"
0.098440073,"Normal",280,100,"27","76"
0.157628944,"PFR",70,-110,"27","77"
0.237671652,"PFR",140,-40,"27","77"
0.266109587,"PFR",210,30,"27","77"
0.266109587,"PFR",280,100,"27","77"
0.099529595,"Normal",140,-40,"27","78"
0.045462374,"Normal",210,30,"27","78"
0.088947486,"Normal",280,100,"27","78"
0.333144447,"Normal",70,-110,"27","79"
0.397682968,"Normal",140,-40,"27","79"
0.472906389,"Normal",210,30,"27","79"
0.443492504,"Normal",280,100,"27","79"
0.102947969,"PFR",70,-110,"27","80"
0.145507584,"PFR",140,-40,"27","80"
0.155870371,"PFR",210,30,"27","80"
0.176279242,"PFR",280,100,"27","80"
0.041964199,"Normal",70,-110,"27","81"
0.273293335,"Normal",140,-40,"27","81"
0.205852054,"Normal",210,30,"27","81"
0.133531393,"Normal",280,100,"27","81"
0.209720531,"Normal",70,-110,"27","82"
0.360002734,"Normal",140,-40,"27","82"
0.360002734,"Normal",210,30,"27","82"
0.324496046,"Normal",280,100,"27","82"
0.197168065,"PFR",70,-110,"27","83"
0.218002152,"PFR",140,-40,"27","83"
0.268263987,"PFR",210,30,"27","83"
0.15415068,"PFR",280,100,"27","83"
0.722705983,"GFR",140,-40,"28","84"
0.641853886,"GFR",140,-40,"28","84"
0.693147181,"GFR",140,-40,"28","84"
0.629968279,"GFR",140,-40,"28","84"
0.596816072,"GFR",140,-40,"28","84"
0.619039208,"GFR",140,-40,"28","84"
0.750305594,"GFR",140,-40,"28","84"
0.804372816,"GFR",140,-40,"28","84"
1.261131218,"GFR",140,-40,"28","84"
0.858226931,"GFR",140,-40,"28","85"
0.755278962,"GFR",140,-40,"28","85"
0.869037847,"GFR",140,-40,"28","85"
0.678332095,"GFR",140,-40,"28","85"
0.663294217,"GFR",140,-40,"28","85"
0.880358723,"GFR",140,-40,"28","85"
0.433635985,"GFR",140,-40,"28","85"
0.433635985,"GFR",140,-40,"28","85"
0.707331816,"GFR",140,-40,"28","85"
0.989412997,"PFR",140,-40,"28","86"
0.936769263,"PFR",140,-40,"28","86"
1.027153325,"PFR",140,-40,"28","86"
1.085708884,"PFR",140,-40,"28","86"
1.059391576,"PFR",140,-40,"28","86"
1.16074407,"PFR",140,-40,"28","86"
0.852211875,"PFR",140,-40,"28","86"
0.640037355,"PFR",140,-40,"28","86"
0.96343751,"PFR",140,-40,"28","86"
0.680243776,"GFR",140,-40,"28","87"
0.693147181,"GFR",140,-40,"28","87"
0.705886206,"GFR",140,-40,"28","87"
1.070441412,"GFR",140,-40,"28","87"
1.026638789,"GFR",140,-40,"28","87"
1.041453875,"GFR",140,-40,"28","87"
0.969400557,"GFR",140,-40,"28","87"
0.87924946,"GFR",140,-40,"28","87"
1.265666373,"GFR",140,-40,"28","87"
0.470003629,"GFR",140,-40,"28","88"
0.478892577,"GFR",140,-40,"28","88"
0.461034959,"GFR",140,-40,"28","88"
0.649087191,"GFR",140,-40,"28","88"
0.658055861,"GFR",140,-40,"28","88"
0.693147181,"GFR",140,-40,"28","88"
0.817709903,"GFR",140,-40,"28","88"
0.762140052,"GFR",140,-40,"28","88"
0.870353637,"GFR",140,-40,"28","88"
0.466595249,"Normal",140,-40,"29","89"
0.345919109,"Normal",140,-40,"29","89"
0.377029829,"Normal",90,-90,"29","90"
0.51228844,"Normal",180,0,"29","90"
0.192020308,"Normal",90,-90,"29","90"
0.250942377,"Normal",180,0,"29","90"
0.243940113,"Normal",90,-90,"29","90"
0.393094152,"Normal",180,0,"29","90"
0.121125141,"Normal",100,-80,"30","92"
0.151890495,"Normal",200,20,"30","92"
0.112951527,"Normal",300,120,"30","92"
0.178692493,"Normal",100,-80,"30","93"
0.322580078,"Normal",200,20,"30","93"
0.347530736,"Normal",300,120,"30","93"
0.412532275,"Normal",100,-80,"31","94"
0.354545018,"Normal",150,-30,"31","94"
0.453917492,"Normal",200,20,"31","94"
0.244196961,"Normal",100,-80,"31","94"
0.324239668,"Normal",150,-30,"31","94"
0.440311839,"Normal",200,20,"31","94"
0.260726262,"Normal",100,-80,"31","94"
0.354545018,"Normal",150,-30,"31","94"
0.33950714,"Normal",200,20,"31","94"
0.334639056,"Normal",100,-80,"31","95"
0.325422401,"Normal",150,-30,"31","95"
0.334639056,"Normal",200,20,"31","95"
0.278020162,"Normal",100,-80,"31","95"
0.306730267,"Normal",150,-30,"31","95"
0.334639056,"Normal",200,20,"31","95"
0.238411024,"Normal",100,-80,"31","95"
0.325422401,"Normal",150,-30,"31","95"
0.306730267,"Normal",200,20,"31","95"
0.562526998,"Normal",100,-80,"31","96"
0.619039208,"Normal",150,-30,"31","96"
0.538996501,"Normal",200,20,"31","96"
0.477627554,"Normal",100,-80,"31","96"
0.502628856,"Normal",150,-30,"31","96"
0.514898949,"Normal",200,20,"31","96"
0.356674944,"Normal",100,-80,"31","96"
0.425667815,"Normal",150,-30,"31","96"
0.370859579,"Normal",200,20,"31","96"
0.226786021,"Normal",100,-80,"32","97"
0.196737353,"Normal",200,20,"32","97"
0.258664704,"Normal",100,-80,"32","97"
0.248850225,"Normal",200,20,"32","97"
0.417516949,"Normal",100,-80,"32","98"
0.440043512,"Normal",200,20,"32","98"
0.371436309,"Normal",100,-80,"32","98"
0.425631928,"Normal",200,20,"32","98"
0.393774538,"GFR",200,20,"33","99"
0.39940307,"GFR",300,120,"33","99"
1.039542194,"Normal",200,20,"33","100"
0.91368995,"Normal",300,120,"33","100"
0.203463186,"PFR",82,-98,"34","101"
0.244452632,"PFR",144,-36,"34","101"
0.302947704,"PFR",206,26,"34","101"
0.332801266,"PFR",267,87,"34","101"
0.272175409,"PFR",206,26,"34","101"
0.196027921,"PFR",82,-98,"34","102"
0.268389029,"PFR",144,-36,"34","102"
0.270010985,"PFR",206,26,"34","102"
0.261873671,"PFR",267,87,"34","102"
0.220166631,"PFR",206,26,"34","102"
0.197044889,"PFR",82,-98,"34","103"
0.251313554,"PFR",144,-36,"34","103"
0.271151846,"PFR",206,26,"34","103"
0.283574766,"PFR",267,87,"34","103"
0.217978026,"PFR",206,26,"34","103"
0.100822384,"Normal",80,-100,"35","104"
0.250207085,"Normal",120,-60,"35","104"
0.229505193,"Normal",160,-20,"35","104"
0.272763673,"Normal",200,20,"35","104"
0.112527458,"Normal",120,-60,"35","104"
0.249487726,"Normal",200,20,"35","104"
0.057392798,"PFR",60,-120,"36","105"
0.126651238,"PFR",105,-75,"36","105"
0.190259959,"PFR",150,-30,"36","105"
0.223424806,"PFR",194,14,"36","105"
0.265281136,"PFR",244,64,"36","105"
0.11058876,"PFR",60,-120,"36","105"
0.187014827,"PFR",105,-75,"36","105"
0.275001203,"PFR",150,-30,"36","105"
0.229574442,"PFR",194,14,"36","105"
0.271933715,"PFR",244,64,"36","105"
0.033132935,"PFR",41,-139,"36","106"
0.110665568,"PFR",71,-109,"36","106"
0.234427169,"PFR",102,-78,"36","106"
0.256619481,"PFR",133,-47,"36","106"
0.311336263,"PFR",244,64,"36","106"
0.086822395,"PFR",41,-139,"36","106"
0.229923238,"PFR",71,-109,"36","106"
0.353495291,"PFR",102,-78,"36","106"
0.358260987,"PFR",133,-47,"36","106"
0.398639143,"PFR",244,64,"36","106"
0.388935806,"Normal",67,-113,"37","107"
0.484245986,"Normal",134,-46,"37","107"
0.514098949,"Normal",202,22,"37","107"
0.523855124,"Normal",269,89,"37","107"
0.334202088,"Normal",67,-113,"37","108"
0.451985124,"Normal",134,-46,"37","108"
0.510825624,"Normal",202,22,"37","108"
0.510825624,"Normal",269,89,"37","108"
0.90613747,"Normal",100,-80,"38","109"
1.081633733,"Normal",200,20,"38","109"
1.095239058,"Normal",300,120,"38","109"
0.766171468,"Normal",100,-80,"38","109"
0.938269475,"Normal",200,20,"38","109"
1.166930503,"Normal",300,120,"38","109"
0.502728613,"Normal",100,-80,"38","110"
1.049018789,"Normal",200,20,"38","110"
1.020357404,"Normal",300,120,"38","110"
0.554996887,"Normal",100,-80,"38","110"
0.969682898,"Normal",200,20,"38","110"
1.040506297,"Normal",300,120,"38","110"
0.730357918,"Normal",100,-80,"38","111"
0.964191564,"Normal",200,20,"38","111"
1.048360238,"Normal",300,120,"38","111"
0.594935131,"Normal",100,-80,"38","111"
1.034550104,"Normal",200,20,"38","111"
1.081227026,"Normal",300,120,"38","111"
0.043824012,"Normal",100,-80,"39","112"
0.06722779,"Normal",150,-30,"39","112"
0.102242095,"Normal",200,20,"39","112"
0.031589436,"Normal",250,70,"39","112"
0.074701976,"Normal",300,120,"39","112"
0.260443917,"GFR",100,-80,"39","113"
0.245609886,"GFR",150,-30,"39","113"
0.287423635,"GFR",200,20,"39","113"
0.255523649,"GFR",250,70,"39","113"
0.222574426,"GFR",300,120,"39","113"
0.300829016,"PFR",100,-80,"39","114"
0.545985693,"PFR",150,-30,"39","114"
0.513952077,"PFR",200,20,"39","114"
0.50901194,"PFR",250,70,"39","114"
0.535353616,"PFR",300,120,"39","114"
0.734096364,"PFR",100,-80,"39","115"
0.863346225,"PFR",150,-30,"39","115"
0.898590049,"PFR",200,20,"39","115"
0.908926397,"PFR",250,70,"39","115"
0.91779795,"PFR",300,120,"39","115"
0.209018748,"Normal",67.5,-112.5,"40","116"
0.337880856,"Normal",136.5,-43.5,"40","116"
0.469394758,"Normal",205.5,25.5,"40","116"
0.496273367,"Normal",274.5,94.5,"40","116"
0.472184519,"Normal",343.5,163.5,"40","116"
0.203308169,"Normal",67.5,-112.5,"40","117"
0.345063536,"Normal",136.5,-43.5,"40","117"
0.466753808,"Normal",205.5,25.5,"40","117"
0.474202359,"Normal",274.5,94.5,"40","117"
0.467086906,"Normal",343.5,163.5,"40","117"
0.136357383,"PFR",100,-80,"41","118"
0.175341384,"PFR",200,20,"41","118"
0.243969111,"PFR",250,70,"41","118"
0.190803093,"PFR",300,120,"41","118"
0.191538795,"PFR",400,220,"41","118"
0.383825273,"PFR",100,-80,"41","120"
0.683932607,"PFR",200,20,"41","120"
0.746732398,"PFR",250,70,"41","120"
0.724754901,"PFR",300,120,"41","120"
0.724754901,"PFR",400,220,"41","120"
0.538781572,"GFR",90,-90,"42","121"
0.666656599,"GFR",180,0,"42","121"
0.707603881,"GFR",270,90,"42","121"
1.087946562,"GFR",90,-90,"42","122"
1.30750968,"GFR",180,0,"42","122"
1.332312502,"GFR",270,90,"42","122"
1.277318536,"GFR",90,-90,"42","123"
1.289135428,"GFR",180,0,"42","123"
1.319367331,"GFR",270,90,"42","123"
1.043353289,"Normal",50,-130,"43","124"
1.441213469,"Normal",100,-80,"43","124"
1.556448906,"Normal",125,-55,"43","124"
1.493269609,"Normal",150,-30,"43","124"
1.563228132,"Normal",200,20,"43","124"
0.980831318,"Normal",50,-130,"43","124"
1.579362475,"Normal",100,-80,"43","124"
1.631418615,"Normal",125,-55,"43","124"
1.631418615,"Normal",150,-30,"43","124"
1.631418615,"Normal",200,20,"43","124"
1.340625222,"Normal",50,-130,"43","125"
0.980831799,"Normal",50,-130,"43","125"
1.480228428,"Normal",100,-80,"43","125"
1.603361971,"Normal",125,-55,"43","125"
1.650989639,"Normal",150,-30,"43","125"
1.118029107,"Normal",50,-130,"43","126"
1.415280015,"Normal",100,-80,"43","126"
1.393618285,"Normal",125,-55,"43","126"
1.415280015,"Normal",150,-30,"43","126"
1.457244653,"Normal",220,40,"43","126"
1.174117086,"Normal",50,-130,"43","126"
1.371476915,"Normal",100,-80,"43","126"
1.450370673,"Normal",125,-55,"43","126"
1.415280015,"Normal",150,-30,"43","126"
1.341171797,"Normal",220,40,"43","126"
0.768047167,"Normal",50,-130,"43","127"
0.778302522,"Normal",100,-80,"43","127"
0.82806511,"Normal",125,-55,"43","127"
0.681972661,"Normal",150,-30,"43","127"
