lnRR,AEN,Env_Type,reference_ID,site_year_ID,continent,country,mean_c,sd_c,n_c,mean_t,sd_t,n_t,EDH35_total,EDH35_label,N_rate,N_rate_cluster,env_ID,Label_of_control_treatment,N_strategy,N_S,N_V,N_R,plant_density,plant_density_cluster,HY_strategy2,region_N_label
0.405464564,13.93240909,Normal,14,41,North America,USA,6.13027,,6,9.1954,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,SR,25.0,,75.0,7.85,Conventional,,RN
0.516007771,18.11218182,Normal,14,41,North America,USA,5.90038,,6,9.88506,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,SR,25.0,,75.0,7.85,Conventional,,RN
0.521299118,20.37627273,Normal,14,41,North America,USA,6.55172,,6,11.0345,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,SR,25.0,,75.0,7.85,Conventional,,RN
0.580029785,25.60068182,Normal,14,41,North America,USA,7.16475,,6,12.7969,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,SR,25.0,,75.0,7.85,Conventional,,RN
0.592377641,27.168,Normal,14,41,North America,USA,7.39464,,6,13.3716,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,SR,25.0,,75.0,7.85,Conventional,,RN
0.754970649,38.48827273,Normal,14,41,North America,USA,7.50958,,6,15.977,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,SR,25.0,,75.0,7.85,Conventional,,RN
0.866810479,27.86481818,Normal,14,41,North America,USA,4.44444,,6,10.5747,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,SR,75.0,,25.0,7.85,Conventional,,RN
0.470003425,16.71890909,Normal,14,41,North America,USA,6.13027,,6,9.80843,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,SR,75.0,,25.0,7.85,Conventional,,RN
0.615533426,22.81418182,Normal,14,41,North America,USA,5.90038,,6,10.9195,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,SR,75.0,,25.0,7.85,Conventional,,RN
0.581918942,23.51081818,Normal,14,41,North America,USA,6.55172,,6,11.7241,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,SR,75.0,,25.0,7.85,Conventional,,RN
0.571010496,25.07840909,Normal,14,41,North America,USA,7.16475,,6,12.682,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,SR,75.0,,25.0,7.85,Conventional,,RN
0.650809089,30.82527273,Normal,14,41,North America,USA,7.39464,,6,14.1762,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,SR,75.0,,25.0,7.85,Conventional,,RN
0.764519952,39.18509091,Normal,14,41,North America,USA,7.50958,,6,16.1303,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,SR,75.0,,25.0,7.85,Conventional,,RN
0.050870897,3.038416667,GFR,15,42,Asia,China,6.9866,0.260032788,3,7.35121,0.297185278,3,26.9304,GFR_M,120.0,100_200,2019_05_09_31.58_105.05,N0,SR,50.0,,50.0,5.25,Conventional,,RN
0.090903757,3.693722222,GFR,15,42,Asia,China,6.9866,0.260032788,3,7.65147,0.130025054,3,26.9304,GFR_M,180.0,100_200,2019_05_09_31.58_105.05,N0,SR,50.0,,50.0,5.25,Conventional,,RN
0.094837808,5.9875,GFR,15,42,Asia,China,7.22252,0.222897618,3,7.94102,0.501497991,3,26.9304,GFR_M,120.0,100_200,2019_05_09_31.58_105.05,N0,SR,50.0,,50.0,6.75,High,,RN
0.16144241,7.030111111,GFR,15,42,Asia,China,7.22252,0.222897618,3,8.48794,0.631523045,3,26.9304,GFR_M,180.0,100_200,2019_05_09_31.58_105.05,N0,SR,50.0,,50.0,6.75,High,,RN
0.101666585,6.613083333,GFR,15,42,Asia,China,7.41555,0.817268174,3,8.20912,0.390057842,3,26.9304,GFR_M,120.0,100_200,2019_05_09_31.58_105.05,N0,SR,50.0,,50.0,8.25,High,,RN
0.121071153,5.302333333,GFR,15,42,Asia,China,7.41555,0.817268174,3,8.36997,0.427210332,3,26.9304,GFR_M,180.0,100_200,2019_05_09_31.58_105.05,N0,SR,50.0,,50.0,8.25,High,,RN
0.191688181,14.2,GFR,16,43,Asia,China,10.0808,0.151571766,3,12.2108,0.151554446,3,37.55787,GFR_M,150.0,100_200,2017_03_30_31.03_104.68,N0,SR,50.0,,50.0,5.25,Conventional,,RN
0.227185808,13.03346667,GFR,16,43,Asia,China,7.66485,0.707282947,3,9.61987,0.252550328,3,37.55787,GFR_M,150.0,100_200,2017_03_30_31.03_104.68,N0,SR,50.0,,50.0,5.25,Conventional,,RN
0.059384407,3.116466667,GFR,16,44,Asia,China,7.64051,0.202078368,3,8.10798,0.151537125,3,3.68369,GFR_L,150.0,100_200,2018_04_06_31.03_104.68,N0,SR,50.0,,50.0,5.25,Conventional,,RN
0.120463625,5.255533333,GFR,16,44,Asia,China,6.15788,0.202078368,3,6.94621,0.151554446,3,3.68369,GFR_L,150.0,100_200,2018_04_06_31.03_104.68,N0,SR,50.0,,50.0,5.25,Conventional,,RN
0.230325786,9.533333333,Normal,16,45,Asia,China,5.52102,2.323805966,3,6.95102,0.959850596,3,0.0,,150.0,100_200,2019_03_24_31.03_104.68,N0,SR,50.0,,50.0,5.25,Conventional,,RN
0.14447275,5.061066667,Normal,16,45,Asia,China,4.88425,1.970207794,3,5.64341,0.656759025,3,0.0,,150.0,100_200,2019_03_24_31.03_104.68,N0,SR,50.0,,50.0,5.25,Conventional,,RN
0.466967342,20.11754838,Normal,17,46,North America,USA,6.084454194,0.541935484,4,9.705612903,0.541935484,4,0.0,,180.0,100_200,2000_05_04_42.02__93.75,N0,V,,100.0,,6.8,Low,,RN
0.281674004,13.30431541,Normal,17,47,North America,USA,7.360694194,0.686614194,4,9.755470968,0.637316129,4,0.0,,180.0,100_200,2001_05_09_42.02__93.75,N0,V,,100.0,,7.4,Conventional,,RN
0.146001235,5.3184375,PFR,22,60,North America,USA,7.57855,,4,8.76988,,4,0.71053,PFR_L,224.0,200_300,2005_04_29_40.06__88.23,N0,S,100.0,,,7.0,Low,,RN
0.291520711,7.0485,PFR,22,60,North America,USA,4.664828,,4,6.243692,,4,0.71053,PFR_L,224.0,200_300,2005_04_29_40.06__88.23,N0,S,100.0,,,7.0,Low,,RN
0.510825624,16.12903226,Normal,26,68,North America,USA,4.064516129,0.782216494,3,6.774193548,0.938659792,3,0.0,,168.0,100_200,2014_05_15_41.22__83.76,N0,S,100.0,,,5.3,Low,,RN
0.778304989,18.99641577,Normal,26,68,North America,USA,4.064516129,0.782216494,3,8.851612903,0.469329896,3,0.0,,252.0,200_300,2014_05_15_41.22__83.76,N0,S,100.0,,,5.3,Low,,RN
0.730887509,22.58064516,Normal,26,68,North America,USA,3.522580645,0.625773195,3,7.316129032,0.782216494,3,0.0,,168.0,100_200,2014_05_15_41.22__83.76,N0,S,100.0,,,5.3,Low,,RN
0.951558871,22.22222222,Normal,26,68,North America,USA,3.522580645,0.625773195,3,9.122580645,0.469329896,3,0.0,,252.0,200_300,2014_05_15_41.22__83.76,N0,S,100.0,,,5.3,Low,,RN
1.01523068,23.65591398,Normal,26,69,North America,USA,2.258064516,0.469329896,3,6.232258065,0.782216494,3,0.0,,168.0,100_200,2014_05_05_41.22__83.76,N0,S,100.0,,,5.3,Low,,RN
1.029619417,16.12903226,Normal,26,69,North America,USA,2.258064516,0.469329896,3,6.322580645,1.095103091,3,0.0,,252.0,200_300,2014_05_05_41.22__83.76,N0,S,100.0,,,5.3,Low,,RN
1.071583616,25.80645161,Normal,26,69,North America,USA,2.258064516,0.469329896,3,6.593548387,0.625773195,3,0.0,,168.0,100_200,2014_05_05_41.22__83.76,N0,S,100.0,,,5.3,Low,,RN
1.124929597,18.63799283,Normal,26,69,North America,USA,2.258064516,0.469329896,3,6.95483871,0.782216494,3,0.0,,252.0,200_300,2014_05_05_41.22__83.76,N0,S,100.0,,,5.3,Low,,RN
0.538996501,21.50537635,Normal,26,70,North America,USA,5.058064516,0.625773195,3,8.670967742,0.469329896,3,0.0,,168.0,100_200,2014_05_05_41.22__83.76,N0,S,100.0,,,5.3,Low,,RN
0.559615788,15.05376344,Normal,26,70,North America,USA,5.058064516,0.625773195,3,8.851612903,0.625773195,3,0.0,,252.0,200_300,2014_05_05_41.22__83.76,N0,S,100.0,,,5.3,Low,,RN
0.595983432,23.65591398,Normal,26,70,North America,USA,4.877419355,0.312886597,3,8.851612903,0.312886597,3,0.0,,168.0,100_200,2014_05_05_41.22__83.76,N0,S,100.0,,,5.3,Low,,RN
0.645744942,17.56272401,Normal,26,70,North America,USA,4.877419355,0.312886597,3,9.303225806,0.469329896,3,0.0,,252.0,200_300,2014_05_05_41.22__83.76,N0,S,100.0,,,5.3,Low,,RN
1.019362917,33.33333333,Normal,26,71,North America,USA,3.161290323,0.469329896,3,8.761290323,0.782216494,3,0.0,,168.0,100_200,2014_05_05_41.22__83.76,N0,S,100.0,,,5.3,Low,,RN
1.223775432,30.10752689,Normal,26,71,North America,USA,3.161290323,0.469329896,3,10.7483871,0.938659792,3,0.0,,252.0,200_300,2014_05_05_41.22__83.76,N0,S,100.0,,,5.3,Low,,RN
1.137078569,38.70967742,Normal,26,71,North America,USA,3.070967742,0.312886597,3,9.574193548,0.469329896,3,0.0,,168.0,100_200,2014_05_05_41.22__83.76,N0,S,100.0,,,5.3,Low,,RN
1.309921382,32.97491039,Normal,26,71,North America,USA,3.070967742,0.312886597,3,11.38064516,0.469329896,3,0.0,,252.0,200_300,2014_05_05_41.22__83.76,N0,S,100.0,,,5.3,Low,,RN
1.182695406,23.11827957,Normal,26,72,North America,USA,1.716129032,0.469329896,3,5.6,0.625773195,3,0.0,,168.0,100_200,2014_05_05_40.76__81.9,N0,S,100.0,,,5.3,Low,,RN
1.544197391,25.08960573,Normal,26,72,North America,USA,1.716129032,0.469329896,3,8.038709677,2.190206182,3,0.0,,252.0,200_300,2014_05_05_40.76__81.9,N0,S,100.0,,,5.3,Low,,RN
1.304056263,27.41935484,Normal,26,72,North America,USA,1.716129032,0.469329896,3,6.322580645,1.25154639,3,0.0,,168.0,100_200,2014_05_05_40.76__81.9,N0,S,100.0,,,5.3,Low,,RN
1.619909212,27.59856631,Normal,26,72,North America,USA,1.716129032,0.469329896,3,8.670967742,2.346649481,3,0.0,,252.0,200_300,2014_05_05_40.76__81.9,N0,S,100.0,,,5.3,Low,,RN
0.85105021,27.41935483,Normal,26,73,North America,USA,3.432258065,0.312886597,3,8.038709677,0.625773195,3,0.0,,168.0,100_200,2014_05_05_40.76__81.9,N0,S,100.0,,,5.3,Low,,RN
0.947381319,21.50537634,Normal,26,73,North America,USA,3.432258065,0.312886597,3,8.851612903,0.782216494,3,0.0,,252.0,200_300,2014_05_05_40.76__81.9,N0,S,100.0,,,5.3,Low,,RN
0.85105021,27.41935483,Normal,26,73,North America,USA,3.432258065,0.312886597,3,8.038709677,0.625773195,3,0.0,,168.0,100_200,2014_05_05_40.76__81.9,N0,S,100.0,,,5.3,Low,,RN
0.947381319,21.50537634,Normal,26,73,North America,USA,3.432258065,0.312886597,3,8.851612903,0.625773195,3,0.0,,252.0,200_300,2014_05_05_40.76__81.9,N0,S,100.0,,,5.3,Low,,RN
0.53680111,14.51612903,Normal,26,74,North America,USA,3.432258065,0.938659792,3,5.870967742,0.938659792,3,0.0,,168.0,100_200,2014_05_15_40.76__81.9,N0,S,100.0,,,5.3,Low,,RN
0.884202417,19.35483871,Normal,26,74,North America,USA,3.432258065,0.938659792,3,8.309677419,1.407989689,3,0.0,,252.0,200_300,2014_05_15_40.76__81.9,N0,S,100.0,,,5.3,Low,,RN
0.534923175,15.59139785,Normal,26,74,North America,USA,3.703225806,0.938659792,3,6.322580645,1.095103091,3,0.0,,168.0,100_200,2014_05_15_40.76__81.9,N0,S,100.0,,,5.3,Low,,RN
0.840304825,19.35483871,Normal,26,74,North America,USA,3.703225806,0.938659792,3,8.580645161,1.25154639,3,0.0,,252.0,200_300,2014_05_15_40.76__81.9,N0,S,100.0,,,5.3,Low,,RN
0.051293294,3.571428571,Normal,27,75,Asia,China,9.5,,3,10.0,,3,0.0,,140.0,100_200,2008_05_01_43.57_124.88,N0,SV,25.0,75.0,,6.1,Conventional,FS,RN
0.146603474,7.142857143,Normal,27,75,Asia,China,9.5,,3,11.0,,3,0.0,,210.0,200_300,2008_05_01_43.57_124.88,N0,SV,25.0,75.0,,6.1,Conventional,FS,RN
0.173663494,7.857142857,Normal,27,76,Asia,China,5.8,,3,6.9,,3,0.0,,140.0,100_200,2009_05_01_43.75_125.02,N0,SV,25.0,75.0,,6.1,Conventional,FS,RN
0.082691716,2.380952381,Normal,27,76,Asia,China,5.8,,3,6.3,,3,0.0,,210.0,200_300,2009_05_01_43.75_125.02,N0,SV,25.0,75.0,,6.1,Conventional,FS,RN
0.237671652,15.71428571,PFR,27,77,Asia,China,8.2,,3,10.4,,3,5.42504,PFR_L,140.0,100_200,2010_05_01_43.57_124.88,N0,SV,25.0,75.0,,6.1,Conventional,,RN
0.266109587,11.9047619,PFR,27,77,Asia,China,8.2,,3,10.7,,3,5.42504,PFR_L,210.0,200_300,2010_05_01_43.57_124.88,N0,SV,25.0,75.0,,6.1,Conventional,,RN
0.099529595,6.428571429,Normal,27,78,Asia,China,8.6,,3,9.5,,3,0.0,,140.0,100_200,2008_05_01_43.65_124.65,N0,SV,25.0,75.0,,6.1,Conventional,FS,RN
0.045462374,1.904761905,Normal,27,78,Asia,China,8.6,,3,9.0,,3,0.0,,210.0,200_300,2008_05_01_43.65_124.65,N0,SV,25.0,75.0,,6.1,Conventional,FS,RN
0.397682968,15.0,Normal,27,79,Asia,China,4.3,,3,6.4,,3,0.0,,140.0,100_200,2009_05_01_43.65_124.97,N0,SV,25.0,75.0,,6.1,Conventional,FS,RN
0.472906389,12.38095238,Normal,27,79,Asia,China,4.3,,3,6.9,,3,0.0,,210.0,200_300,2009_05_01_43.65_124.97,N0,SV,25.0,75.0,,6.1,Conventional,FS,RN
0.145507584,9.285714286,PFR,27,80,Asia,China,8.3,,3,9.6,,3,15.70161,PFR_M,140.0,100_200,2010_05_01_43.65_125,N0,SV,25.0,75.0,,6.1,Conventional,,RN
0.155870371,6.666666667,PFR,27,80,Asia,China,8.3,,3,9.7,,3,15.70161,PFR_M,210.0,200_300,2010_05_01_43.65_125,N0,SV,25.0,75.0,,6.1,Conventional,,RN
0.273293335,15.71428571,Normal,27,81,Asia,China,7.0,,3,9.2,,3,0.0,,140.0,100_200,2008_05_01_44.95_126.28,N0,SV,25.0,75.0,,6.1,Conventional,FS,RN
0.205852054,7.619047619,Normal,27,81,Asia,China,7.0,,3,8.6,,3,0.0,,210.0,200_300,2008_05_01_44.95_126.28,N0,SV,25.0,75.0,,6.1,Conventional,FS,RN
0.360002734,18.57142857,Normal,27,82,Asia,China,6.0,,3,8.6,,3,0.0,,140.0,100_200,2009_05_01_44.8_126.48,N0,SV,25.0,75.0,,6.1,Conventional,FS,RN
0.360002734,12.38095238,Normal,27,82,Asia,China,6.0,,3,8.6,,3,0.0,,210.0,200_300,2009_05_01_44.8_126.48,N0,SV,25.0,75.0,,6.1,Conventional,FS,RN
0.218002152,13.57142857,PFR,27,83,Asia,China,7.8,,3,9.7,,3,31.68131,PFR_M,140.0,100_200,2010_05_01_44.8_126.47,N0,SV,25.0,75.0,,6.1,Conventional,,RN
0.268263987,11.42857143,PFR,27,83,Asia,China,7.8,,3,10.2,,3,31.68131,PFR_M,210.0,200_300,2010_05_01_44.8_126.47,N0,SV,25.0,75.0,,6.1,Conventional,,RN
0.393774538,26.988,GFR,33,99,North America,USA,11.1852,,4,16.5828,,4,6.66883,GFR_L,200.0,200_300,2014_05_06_38.88__92.2,N0,SV,50.0,50.0,,7.8,High,HYS2,RN
1.039542194,43.914,Normal,33,100,North America,USA,4.8048,,4,13.5876,,4,0.0,,200.0,200_300,2015_05_08_38.88__92.2,N0,SVR,50.0,50.0,50.0,7.8,High,,RN
0.302947704,4.984368932,PFR,34,101,Asia,China,2.90179,0.257746481,3,3.92857,0.257746481,3,51.3416,PFR_M,206.0,200_300,2013_06_28_39.6_116.58,N0,SVR,10.0,35.0,55.0,5.5,Low,,RN
0.272175409,4.406456311,PFR,34,101,Asia,China,2.90179,0.257746481,3,3.80952,0.335082549,3,51.3416,PFR_M,206.0,200_300,2013_06_28_39.6_116.58,N0,SR,33.0,,67.0,5.5,Low,,RN
0.270010985,10.54669903,PFR,34,102,Asia,China,7.00893,0.051545832,3,9.18155,0.154637496,3,37.51698,PFR_M,206.0,200_300,2014_06_13_39.6_116.58,N0,SVR,10.0,35.0,55.0,5.5,Low,,RN
0.220166631,8.379563107,PFR,34,102,Asia,China,7.00893,0.051545832,3,8.73512,0.309292313,3,37.51698,PFR_M,206.0,200_300,2014_06_13_39.6_116.58,N0,SR,33.0,,67.0,5.5,Low,,RN
0.271151846,9.607572816,PFR,34,103,Asia,China,6.35417,0.463929809,3,8.33333,0.154654817,3,114.32923,PFR_H,206.0,200_300,2015_06_15_39.6_116.58,N0,SVR,10.0,35.0,55.0,5.5,Low,,RN
0.217978026,7.512718447,PFR,34,103,Asia,China,6.35417,0.463929809,3,7.90179,0.463929809,3,114.32923,PFR_H,206.0,200_300,2015_06_15_39.6_116.58,N0,SR,33.0,,67.0,5.5,Low,,RN
0.223424806,9.175257732,PFR,36,105,Asia,China,7.11,,3,8.89,,3,81.97998,PFR_M,194.0,100_200,2005_06_15_37.49_117.48,N0,SR,26.0,,74.0,5.5,Low,,RN
0.265281136,8.852459016,PFR,36,105,Asia,China,7.11,,3,9.27,,3,81.97998,PFR_M,244.0,200_300,2005_06_15_37.49_117.48,N0,SR,41.0,,59.0,5.5,Low,,RN
0.229574442,6.597938144,PFR,36,105,Asia,China,4.96,,3,6.24,,3,81.97998,PFR_M,194.0,100_200,2005_06_15_37.49_117.48,N0,SR,26.0,,74.0,5.5,Low,,RN
0.271933715,6.352459016,PFR,36,105,Asia,China,4.96,,3,6.51,,3,81.97998,PFR_M,244.0,200_300,2005_06_15_37.49_117.48,N0,SR,41.0,,59.0,5.5,Low,,RN
0.311336263,8.442622951,PFR,36,106,Asia,China,5.64,,4,7.7,,4,4.98331,PFR_L,244.0,200_300,2006_06_15_37.49_117.48,N0,SR,41.0,,59.0,5.5,Low,,RN
0.398639143,8.852459016,PFR,36,106,Asia,China,4.41,,4,6.57,,4,4.98331,PFR_L,244.0,200_300,2006_06_15_37.49_117.48,N0,SR,41.0,,59.0,5.5,Low,,RN
0.514098949,20.2970297,Normal,37,107,North America,USA,6.1,,4,10.2,,4,0.0,,202.0,200_300,2006_04_29_40.1__88.2,N0,S,100.0,,,7.9,Conventional,FS,RN
0.510825624,20.79207921,Normal,37,108,North America,USA,6.3,,4,10.5,,4,0.0,,202.0,200_300,2006_04_24_40.1__88.2,N0,S,100.0,,,7.9,Conventional,FS,RN
1.081633733,25.90605,Normal,38,109,Asia,China,2.65772,0.42953,3,7.83893,1.1812,3,0.0,,200.0,200_300,2018_04_25_35.47_104.73,N0,SV,34.0,67.0,,5.25,Low,,RN
0.938269475,20.67115,Normal,38,109,Asia,China,2.65772,0.42953,3,6.79195,0.83221,3,0.0,,200.0,200_300,2018_04_25_35.47_104.73,N0,SVR,34.0,34.0,33.0,5.25,Low,,RN
1.049018789,38.51695,Normal,38,110,Asia,China,4.15311,0.33493,3,11.8565,0.7703,3,0.0,,200.0,200_300,2019_04_25_35.47_104.73,N0,SV,34.0,67.0,,5.25,Low,,RN
0.969682898,33.99545,Normal,38,110,Asia,China,4.15311,0.33493,3,10.9522,1.2057,3,0.0,,200.0,200_300,2019_04_25_35.47_104.73,N0,SVR,34.0,34.0,33.0,5.25,Low,,RN
0.964191564,32.6573,Normal,38,111,Asia,China,4.02514,0.6204,3,10.5566,1.4084,3,0.0,,200.0,200_300,2020_04_25_35.47_104.73,N0,SV,34.0,67.0,,5.25,Low,,RN
1.034550104,36.5048,Normal,38,111,Asia,China,4.02514,0.6204,3,11.3261,0.3017,3,0.0,,200.0,200_300,2020_04_25_35.47_104.73,N0,SVR,34.0,34.0,33.0,5.25,Low,,RN
0.175341384,9.523161295,PFR,41,118,Asia,China,9.937922581,,4,11.84255484,,4,14.56259,PFR_M,200.0,200_300,2009_04_30_35.28_107.88,N0,SVR,40.0,30.0,30.0,8.5,High,HYS2,RN
0.917126039,35.88037421,PFR,41,119,Asia,China,4.777396129,,4,11.95347097,,4,0.36037,PFR_L,200.0,200_300,2010_04_30_35.28_107.88,N0,SVR,40.0,30.0,30.0,8.5,High,HYS2,RN
0.683932607,29.78802583,PFR,41,120,Asia,China,6.068936774,,4,12.02654194,,4,0.9909,PFR_L,200.0,200_300,2011_04_30_35.28_107.88,N0,SVR,40.0,30.0,30.0,8.5,High,HYS2,RN
0.666656599,41.445,GFR,42,121,North America,USA,7.871675,0.567955141,4,15.331775,0.965062604,4,72.14574,GFR_M,180.0,100_200,2016_04_05_33.47__88.76,N0,SV,50.0,50.0,,5.434,Low,,RN
1.30750968,47.1454815,GFR,42,122,North America,USA,3.14658,0.691558501,4,11.63276667,1.000284391,4,30.31727,GFR_M,180.0,100_200,2017_04_05_33.47__88.76,N0,SV,50.0,50.0,,5.434,Low,,RN
1.289135428,45.96886111,GFR,42,123,North America,USA,3.14658,0.691558501,4,11.420975,0.488282202,4,8.60306,GFR_L,180.0,100_200,2018_04_05_33.47__88.76,N0,SV,50.0,50.0,,5.434,Low,,RN
0.372868434,21.08333333,GFR,45,133,Asia,China,8.398,,3,12.193,,3,0.2321,GFR_L,180.0,100_200,2018_04_20_37.87_102.83,N0,SVR,20.0,30.0,50.0,8.0,High,HYS2,RN
0.595709863,41.51666667,GFR,45,133,Asia,China,9.177,,3,16.65,,3,0.2321,GFR_L,180.0,100_200,2018_04_20_37.87_102.83,N0,SVR,20.0,20.0,50.0,10.0,High,HYS2,RN
0.286485471,15.41111111,Normal,45,134,Asia,China,8.362,,3,11.136,,3,0.0,,180.0,100_200,2020_05_08_37.87_102.83,N0,SR,20.0,,50.0,8.0,High,,RN
0.283428669,20.69444444,Normal,45,134,Asia,China,11.368,,3,15.093,,3,0.0,,180.0,100_200,2020_05_08_37.87_102.83,N0,SVR,20.0,40.0,50.0,10.0,High,,RN
0.112029025,7.461111111,Normal,45,134,Asia,China,11.329,,3,12.672,,3,0.0,,180.0,100_200,2020_05_08_37.87_102.83,N0,SVR,20.0,30.0,50.0,12.0,High,,RN
1.043042437,37.65227021,GFR,46,135,North America,USA,3.441860465,,4,9.76744186,,4,5.32302,GFR_L,168.0,100_200,2004_03_28_31.95__91.23,N0,S,100.0,,,,,,RN
1.138352618,32.59966779,GFR,46,135,North America,USA,3.441860465,,4,10.74418605,,4,5.32302,GFR_L,224.0,200_300,2004_03_28_31.95__91.23,N0,S,100.0,,,,,,RN
0.943942263,34.88372093,GFR,46,136,North America,USA,3.73255814,,4,9.593023256,,4,16.18351,GFR_M,168.0,100_200,2004_04_02_32.42__93.64,N0,S,100.0,,,,,,RN
0.998200854,28.55066446,GFR,46,136,North America,USA,3.73255814,,4,10.12790698,,4,16.18351,GFR_M,224.0,200_300,2004_04_02_32.42__93.64,N0,S,100.0,,,,,,RN
1.048607099,33.91901933,Normal,47,139,North America,USA,3.659654194,0.416549677,4,10.44345806,0.416477419,4,0.0,,200.0,200_300,2015_05_08_38.88__92.2,N0,SV,50.0,50.0,,7.8,High,,RN
0.179558966,6.610356436,PFR,48,140,North America,USA,6.788833333,,2,8.124125333,,2,1.22164,PFR_L,202.0,200_300,2019_06_04_42.02__93.79,N0,S,100.0,,,3.7,Low,,RN
0.411949957,17.69831021,PFR,48,140,North America,USA,7.013234667,,2,10.58829333,,2,1.22164,PFR_L,202.0,200_300,2019_06_04_42.02__93.79,N0,S,100.0,,,5.6,Low,,RN
0.590030016,24.75555774,PFR,48,140,North America,USA,6.219350667,,2,11.21997333,,2,1.22164,PFR_L,202.0,200_300,2019_06_04_42.02__93.79,N0,S,100.0,,,7.5,Conventional,FS1,RN
0.456750464,20.21844885,PFR,48,140,North America,USA,7.054553333,,2,11.13868,,2,1.22164,PFR_L,202.0,200_300,2019_06_04_42.02__93.79,N0,S,100.0,,,9.4,High,HYS1,RN
0.483670397,20.2190033,PFR,48,140,North America,USA,6.566121333,,2,10.65036,,2,1.22164,PFR_L,202.0,200_300,2019_06_04_42.02__93.79,N0,S,100.0,,,11.4,High,HYS1,RN
