env_ID,lat,lon,sowing_date,harvest_date,Duration,R1_date
2004_05_20_45.37__75.72,45.37,-75.72,2004/5/20,2004/10/24,,
2004_05_20_45.37__75.72,45.37,-75.72,2004/5/20,2004/10/24,,
2004_05_20_45.37__75.72,45.37,-75.72,2004/5/20,2004/10/24,,
2005_05_20_45.37__75.72,45.37,-75.72,2005/5/20,2005/10/24,,
2005_05_20_45.37__75.72,45.37,-75.72,2005/5/20,2005/10/24,,
2005_05_20_45.37__75.72,45.37,-75.72,2005/5/20,2005/10/24,,
2005_05_20_45.37__75.72,45.37,-75.72,2005/5/20,2005/10/24,,
2005_05_20_45.37__75.72,45.37,-75.72,2005/5/20,2005/10/24,,
2005_05_20_45.37__75.72,45.37,-75.72,2005/5/20,2005/10/24,,
2005_05_20_45.37__75.72,45.37,-75.72,2005/5/20,2005/10/24,,
2005_05_20_45.37__75.72,45.37,-75.72,2005/5/20,2005/10/24,,
2005_05_20_45.37__75.72,45.37,-75.72,2005/5/20,2005/10/24,,
2005_03_30_36.14__97.11,36.14,-97.11,2005/3/30,2005/8/27,150,2005/6/19
2005_03_30_36.14__97.11,36.14,-97.11,2005/3/30,2005/8/27,150,2005/6/19
2005_03_30_36.14__97.11,36.14,-97.11,2005/3/30,2005/8/27,150,2005/6/19
2005_03_30_36.14__97.11,36.14,-97.11,2005/3/30,2005/8/27,150,2005/6/19
2005_03_30_36.14__97.11,36.14,-97.11,2005/3/30,2005/8/27,150,2005/6/19
2005_03_30_36.14__97.11,36.14,-97.11,2005/3/30,2005/8/27,150,2005/6/19
2006_03_30_36.14__97.11,36.14,-97.11,2006/3/30,2006/9/1,155,2006/6/24
2006_03_30_36.14__97.11,36.14,-97.11,2006/3/30,2006/9/1,155,2006/6/24
2006_03_30_36.14__97.11,36.14,-97.11,2006/3/30,2006/9/1,155,2006/6/24
2006_03_30_36.14__97.11,36.14,-97.11,2006/3/30,2006/9/1,155,2006/6/24
2006_03_30_36.14__97.11,36.14,-97.11,2006/3/30,2006/9/1,155,2006/6/24
2006_03_30_36.14__97.11,36.14,-97.11,2006/3/30,2006/9/1,155,2006/6/24
2007_03_21_36.14__97.11,36.14,-97.11,2007/3/21,2007/8/29,161,2007/6/26
2007_03_21_36.14__97.11,36.14,-97.11,2007/3/21,2007/8/29,161,2007/6/26
2007_03_21_36.14__97.11,36.14,-97.11,2007/3/21,2007/8/29,161,2007/6/26
2007_03_21_36.14__97.11,36.14,-97.11,2007/3/21,2007/8/29,161,2007/6/26
2007_03_21_36.14__97.11,36.14,-97.11,2007/3/21,2007/8/29,161,2007/6/26
2005_04_12_36.15__97.29,36.15,-97.29,2005/4/12,2005/9/7,148,2005/6/26
2005_04_12_36.15__97.29,36.15,-97.29,2005/4/12,2005/9/7,148,2005/6/26
2005_04_12_36.15__97.29,36.15,-97.29,2005/4/12,2005/9/7,148,2005/6/26
2005_04_12_36.15__97.29,36.15,-97.29,2005/4/12,2005/9/7,148,2005/6/26
2005_04_12_36.15__97.29,36.15,-97.29,2005/4/12,2005/9/7,148,2005/6/26
2005_04_12_36.15__97.29,36.15,-97.29,2005/4/12,2005/9/7,148,2005/6/26
2006_03_31_36.15__97.29,36.15,-97.29,2006/3/31,2006/8/18,140,2006/6/17
2006_03_31_36.15__97.29,36.15,-97.29,2006/3/31,2006/8/18,140,2006/6/17
2006_03_31_36.15__97.29,36.15,-97.29,2006/3/31,2006/8/18,140,2006/6/17
2006_03_31_36.15__97.29,36.15,-97.29,2006/3/31,2006/8/18,140,2006/6/17
2006_03_31_36.15__97.29,36.15,-97.29,2006/3/31,2006/8/18,140,2006/6/17
2006_03_31_36.15__97.29,36.15,-97.29,2006/3/31,2006/8/18,140,2006/6/17
2007_03_21_36.15__97.29,36.15,-97.29,2007/3/21,2007/8/29,161,2007/6/24
2007_03_21_36.15__97.29,36.15,-97.29,2007/3/21,2007/8/29,161,2007/6/24
2007_03_21_36.15__97.29,36.15,-97.29,2007/3/21,2007/8/29,161,2007/6/24
2007_03_21_36.15__97.29,36.15,-97.29,2007/3/21,2007/8/29,161,2007/6/24
2007_03_21_36.15__97.29,36.15,-97.29,2007/3/21,2007/8/29,161,2007/6/24
2005_04_04_35.82__95.66,35.82,-95.66,2005/4/4,2005/8/29,147,2005/6/25
2005_04_04_35.82__95.66,35.82,-95.66,2005/4/4,2005/8/29,147,2005/6/25
2005_04_04_35.82__95.66,35.82,-95.66,2005/4/4,2005/8/29,147,2005/6/25
2005_04_04_35.82__95.66,35.82,-95.66,2005/4/4,2005/8/29,147,2005/6/25
2005_04_04_35.82__95.66,35.82,-95.66,2005/4/4,2005/8/29,147,2005/6/25
2005_04_04_35.82__95.66,35.82,-95.66,2005/4/4,2005/8/29,147,2005/6/25
2006_04_13_35.82__95.66,35.82,-95.66,2006/4/13,2006/8/31,140,2006/6/26
2007_04_12_35.82__95.66,35.82,-95.66,2007/4/12,2007/9/19,160,2007/7/10
2007_04_12_35.82__95.66,35.82,-95.66,2007/4/12,2007/9/19,160,2007/7/10
2007_04_12_35.82__95.66,35.82,-95.66,2007/4/12,2007/9/19,160,2007/7/10
2007_04_12_35.82__95.66,35.82,-95.66,2007/4/12,2007/9/19,160,2007/7/10
2007_04_12_35.82__95.66,35.82,-95.66,2007/4/12,2007/9/19,160,2007/7/10
2007_04_12_35.82__95.66,35.82,-95.66,2007/4/12,2007/9/19,160,2007/7/10
2001_05_15_33.38_48.6,33.38,48.6,2001/5/15,2001/9/30,138,
2001_05_15_33.38_48.6,33.38,48.6,2001/5/15,2001/9/30,138,
2001_05_15_33.38_48.6,33.38,48.6,2001/5/15,2001/9/30,138,
2001_05_15_33.38_48.6,33.38,48.6,2001/5/15,2001/9/30,138,
2001_05_15_33.38_48.6,33.38,48.6,2001/5/15,2001/9/30,138,
2002_05_20_33.38_48.6,33.38,48.6,2002/5/20,2002/9/30,133,
2002_05_20_33.38_48.6,33.38,48.6,2002/5/20,2002/9/30,133,
2002_05_20_33.38_48.6,33.38,48.6,2002/5/20,2002/9/30,133,
2002_05_20_33.38_48.6,33.38,48.6,2002/5/20,2002/9/30,133,
2002_05_20_33.38_48.6,33.38,48.6,2002/5/20,2002/9/30,133,
1998_06_12_41.32__7.73,41.32,-7.73,1998/6/12,1998/10/13,123,1998/8/16
1998_06_12_41.32__7.73,41.32,-7.73,1998/6/12,1998/10/13,123,1998/8/16
1998_06_12_41.32__7.73,41.32,-7.73,1998/6/12,1998/10/13,123,1998/8/16
2017_12_01__22.82__48.42,-22.82,-48.42,2017/12/1,2018/4/15,135,
2017_12_01__22.82__48.42,-22.82,-48.42,2017/12/1,2018/4/15,135,
2017_12_01__22.82__48.42,-22.82,-48.42,2017/12/1,2018/4/15,135,
2017_12_01__22.82__48.42,-22.82,-48.42,2017/12/1,2018/4/15,135,
2017_12_01__22.82__48.42,-22.82,-48.42,2017/12/1,2018/4/15,135,
2017_12_01__22.82__48.42,-22.82,-48.42,2017/12/1,2018/4/15,135,
1996_05_18_32.6_75.08,32.6,75.08,1996/5/18,1996/9/15,120,
1996_05_18_32.6_75.08,32.6,75.08,1996/5/18,1996/9/15,120,
1997_05_15_32.6_75.08,32.6,75.08,1997/5/15,1997/9/15,123,
1997_05_15_32.6_75.08,32.6,75.08,1997/5/15,1997/9/15,123,
2019_11_01__37.61__58.64,-37.61,-58.64,2019/11/1,2020/3/2,122,
2019_11_01__37.61__58.64,-37.61,-58.64,2019/11/1,2020/3/2,122,
2019_11_01__37.61__58.64,-37.61,-58.64,2019/11/1,2020/3/2,122,
2019_10_24__37.08__59.59,-37.08,-59.59,2019/10/24,2020/2/18,117,
2019_10_24__37.08__59.59,-37.08,-59.59,2019/10/24,2020/2/18,117,
2019_10_24__37.08__59.59,-37.08,-59.59,2019/10/24,2020/2/18,117,
2019_11_29__38.22__59.02,-38.22,-59.02,2019/11/29,2020/3/23,115,
2019_11_15__38.29__59.02,-38.29,-59.02,2019/11/15,2020/3/16,122,
2007_06_20_30.93_75.87,30.93,75.87,2007/6/20,2007/10/3,105,2007/8/17
2007_06_20_30.93_75.87,30.93,75.87,2007/6/20,2007/10/3,105,2007/8/17
2007_06_20_30.93_75.87,30.93,75.87,2007/6/20,2007/10/3,105,2007/8/17
2007_06_20_30.93_75.87,30.93,75.87,2007/6/20,2007/9/13,85,2007/8/17
2007_06_20_30.93_75.87,30.93,75.87,2007/6/20,2007/9/13,85,2007/8/17
2007_06_20_30.93_75.87,30.93,75.87,2007/6/20,2007/9/13,85,2007/8/17
2008_06_06_30.93_75.87,30.93,75.87,2008/6/6,2008/9/19,105,2008/8/3
2008_06_06_30.93_75.87,30.93,75.87,2008/6/6,2008/9/19,105,2008/8/3
2008_06_06_30.93_75.87,30.93,75.87,2008/6/6,2008/9/19,105,2008/8/3
2008_06_06_30.93_75.87,30.93,75.87,2008/6/6,2008/9/19,105,2008/8/3
2008_06_06_30.93_75.87,30.93,75.87,2008/6/6,2008/9/19,105,2008/8/3
2008_06_06_30.93_75.87,30.93,75.87,2008/6/6,2008/9/19,105,2008/8/3
2009_05_27_30.93_75.87,30.93,75.87,2009/5/27,2009/9/9,105,2009/7/24
2009_05_27_30.93_75.87,30.93,75.87,2009/5/27,2009/9/9,105,2009/7/24
2009_05_27_30.93_75.87,30.93,75.87,2009/5/27,2009/9/9,105,2009/7/24
2009_05_27_30.93_75.87,30.93,75.87,2009/5/27,2009/9/9,105,2009/7/24
2009_05_27_30.93_75.87,30.93,75.87,2009/5/27,2009/9/9,105,2009/7/24
2009_05_27_30.93_75.87,30.93,75.87,2009/5/27,2009/9/9,105,2009/7/24
2011_05_04_43.28_124.43,43.28,124.43,2011/5/4,2011/10/6,155,
2011_05_04_43.28_124.43,43.28,124.43,2011/5/4,2011/10/6,155,
2011_05_04_43.28_124.43,43.28,124.43,2011/5/4,2011/10/6,155,
2011_05_04_43.28_124.43,43.28,124.43,2011/5/4,2011/10/6,155,
2011_05_04_43.28_124.43,43.28,124.43,2011/5/4,2011/10/6,155,
2011_05_04_43.28_124.43,43.28,124.43,2011/5/4,2011/10/6,155,
1995_10_18__37.75__58.3,-37.75,-58.3,1995/10/18,1996/3/8,142,1996/1/10
1996_10_20__37.75__58.3,-37.75,-58.3,1996/10/20,1997/3/10,141,1997/1/10
1999_10_10__37.75__58.3,-37.75,-58.3,1999/10/10,2000/3/1,143,2000/1/5
1999_10_10__37.75__58.3,-37.75,-58.3,1999/10/10,2000/3/1,143,2000/1/5
1999_10_10__37.75__58.3,-37.75,-58.3,1999/10/10,2000/3/1,143,2000/1/5
1999_10_10__37.75__58.3,-37.75,-58.3,1999/10/10,2000/3/1,143,2000/1/5
2000_10_19__37.75__58.3,-37.75,-58.3,2000/10/19,2001/3/9,141,2001/1/10
2000_10_19__37.75__58.3,-37.75,-58.3,2000/10/19,2001/3/9,141,2001/1/10
2000_10_19__37.75__58.3,-37.75,-58.3,2000/10/19,2001/3/9,141,2001/1/10
2000_10_19__37.75__58.3,-37.75,-58.3,2000/10/19,2001/3/9,141,2001/1/10
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2016_05_20_40.47__86.99,40.47,-86.99,2016/5/20,2016/9/10,113,2016/7/22
2019_05_09_31.58_105.05,31.58,105.05,2019/5/9,2019/8/31,114,2019/7/12
2019_05_09_31.58_105.05,31.58,105.05,2019/5/9,2019/8/31,114,2019/7/12
2019_05_09_31.58_105.05,31.58,105.05,2019/5/9,2019/8/31,114,2019/7/12
2019_05_09_31.58_105.05,31.58,105.05,2019/5/9,2019/8/31,114,2019/7/12
2019_05_09_31.58_105.05,31.58,105.05,2019/5/9,2019/8/31,114,2019/7/12
2019_05_09_31.58_105.05,31.58,105.05,2019/5/9,2019/8/31,114,2019/7/12
2019_05_09_31.58_105.05,31.58,105.05,2019/5/9,2019/8/31,114,2019/7/12
2019_05_09_31.58_105.05,31.58,105.05,2019/5/9,2019/8/31,114,2019/7/12
2019_05_09_31.58_105.05,31.58,105.05,2019/5/9,2019/8/31,114,2019/7/12
2017_03_30_31.03_104.68,31.03,104.68,2017/3/30,2017/8/1,124,
2017_03_30_31.03_104.68,31.03,104.68,2017/3/30,2017/8/1,124,
2017_03_30_31.03_104.68,31.03,104.68,2017/3/30,2017/8/1,124,
2017_03_30_31.03_104.68,31.03,104.68,2017/3/30,2017/8/1,124,
2018_04_06_31.03_104.68,31.03,104.68,2018/4/6,2018/8/8,124,
2018_04_06_31.03_104.68,31.03,104.68,2018/4/6,2018/8/8,124,
2018_04_06_31.03_104.68,31.03,104.68,2018/4/6,2018/8/8,124,
2018_04_06_31.03_104.68,31.03,104.68,2018/4/6,2018/8/8,124,
2019_03_24_31.03_104.68,31.03,104.68,2019/3/24,2019/7/26,124,
2019_03_24_31.03_104.68,31.03,104.68,2019/3/24,2019/7/26,124,
2019_03_24_31.03_104.68,31.03,104.68,2019/3/24,2019/7/26,124,
2019_03_24_31.03_104.68,31.03,104.68,2019/3/24,2019/7/26,124,
2000_05_04_42.02__93.75,42.02,-93.75,2000/5/4,2000/8/16,104,2000/7/14
2000_05_04_42.02__93.75,42.02,-93.75,2000/5/4,2000/8/16,104,2000/7/14
2000_05_04_42.02__93.75,42.02,-93.75,2000/5/4,2000/8/16,104,2000/7/14
2001_05_09_42.02__93.75,42.02,-93.75,2001/5/9,2001/8/21,104,2001/7/23
2001_05_09_42.02__93.75,42.02,-93.75,2001/5/9,2001/8/21,104,2001/7/23
2001_05_09_42.02__93.75,42.02,-93.75,2001/5/9,2001/8/21,104,2001/7/23
2018_04_17_38.6_103.07,38.6,103.07,2018/4/17,2018/8/29,134,
2018_04_17_38.6_103.07,38.6,103.07,2018/4/17,2018/8/29,134,
2018_04_17_38.6_103.07,38.6,103.07,2018/4/17,2018/8/29,134,
2018_04_17_38.6_103.07,38.6,103.07,2018/4/17,2018/8/29,134,
2018_04_17_38.6_103.07,38.6,103.07,2018/4/17,2018/8/29,134,
2018_04_17_38.6_103.07,38.6,103.07,2018/4/17,2018/8/29,134,
2018_04_17_38.6_103.07,38.6,103.07,2018/4/17,2018/8/29,134,
2018_04_17_38.6_103.07,38.6,103.07,2018/4/17,2018/8/29,134,
2018_04_17_38.6_103.07,38.6,103.07,2018/4/17,2018/8/29,134,
2018_04_17_38.6_103.07,38.6,103.07,2018/4/17,2018/8/29,134,
2018_04_17_38.6_103.07,38.6,103.07,2018/4/17,2018/8/29,134,
2018_04_17_38.6_103.07,38.6,103.07,2018/4/17,2018/8/29,134,
2019_04_19_38.6_103.07,38.6,103.07,2019/4/19,2019/8/31,134,
2019_04_19_38.6_103.07,38.6,103.07,2019/4/19,2019/8/31,134,
2019_04_19_38.6_103.07,38.6,103.07,2019/4/19,2019/8/31,134,
2019_04_19_38.6_103.07,38.6,103.07,2019/4/19,2019/8/31,134,
2019_04_19_38.6_103.07,38.6,103.07,2019/4/19,2019/8/31,134,
2019_04_19_38.6_103.07,38.6,103.07,2019/4/19,2019/8/31,134,
2019_04_19_38.6_103.07,38.6,103.07,2019/4/19,2019/8/31,134,
2019_04_19_38.6_103.07,38.6,103.07,2019/4/19,2019/8/31,134,
2019_04_19_38.6_103.07,38.6,103.07,2019/4/19,2019/8/31,134,
2019_04_19_38.6_103.07,38.6,103.07,2019/4/19,2019/8/31,134,
2019_04_19_38.6_103.07,38.6,103.07,2019/4/19,2019/8/31,134,
2019_04_19_38.6_103.07,38.6,103.07,2019/4/19,2019/8/31,134,
2005_05_10_45.39__75.57,45.39,-75.57,2005/5/10,2005/10/14,,
2005_05_10_45.39__75.57,45.39,-75.57,2005/5/10,2005/10/14,,
2005_05_10_45.39__75.57,45.39,-75.57,2005/5/10,2005/10/14,,
2005_05_10_45.39__75.57,45.39,-75.57,2005/5/10,2005/10/14,,
2005_05_10_45.39__75.57,45.39,-75.57,2005/5/10,2005/10/14,,
2006_05_12_45.39__75.57,45.39,-75.57,2006/5/12,2006/10/16,,
2006_05_12_45.39__75.57,45.39,-75.57,2006/5/12,2006/10/16,,
2006_05_12_45.39__75.57,45.39,-75.57,2006/5/12,2006/10/16,,
2006_05_12_45.39__75.57,45.39,-75.57,2006/5/12,2006/10/16,,
2006_05_12_45.39__75.57,45.39,-75.57,2006/5/12,2006/10/16,,
2007_05_13_45.39__75.57,45.39,-75.57,2007/5/13,2007/10/17,,
2007_05_13_45.39__75.57,45.39,-75.57,2007/5/13,2007/10/17,,
2007_05_13_45.39__75.57,45.39,-75.57,2007/5/13,2007/10/17,,
2007_05_13_45.39__75.57,45.39,-75.57,2007/5/13,2007/10/17,,
2007_05_13_45.39__75.57,45.39,-75.57,2007/5/13,2007/10/17,,
2007_05_13_45.39__75.57,45.39,-75.57,2007/5/13,2007/10/17,,
2008_05_12_45.39__75.57,45.39,-75.57,2008/5/12,2008/10/16,,
2008_05_12_45.39__75.57,45.39,-75.57,2008/5/12,2008/10/16,,
2008_05_12_45.39__75.57,45.39,-75.57,2008/5/12,2008/10/16,,
2009_05_10_45.39__75.57,45.39,-75.57,2009/5/10,2009/10/14,,
2009_05_10_45.39__75.57,45.39,-75.57,2009/5/10,2009/10/14,,
2009_05_10_45.39__75.57,45.39,-75.57,2009/5/10,2009/10/14,,
2009_05_10_45.39__75.57,45.39,-75.57,2009/5/10,2009/10/14,,
2010_05_10_45.39__75.57,45.39,-75.57,2010/5/10,2010/10/14,,
2010_05_10_45.39__75.57,45.39,-75.57,2010/5/10,2010/10/14,,
2010_05_10_45.39__75.57,45.39,-75.57,2010/5/10,2010/10/14,,
2010_05_10_45.39__75.57,45.39,-75.57,2010/5/10,2010/10/14,,
2013_08_02_6.67__1.57,6.67,-1.57,2013/8/2,2013/11/5,95,
2013_08_02_6.67__1.57,6.67,-1.57,2013/8/2,2013/11/5,95,
2013_04_02_6.67__1.57,6.67,-1.57,2013/4/2,2013/7/6,95,
2013_04_02_6.67__1.57,6.67,-1.57,2013/4/2,2013/7/6,95,
2017_11_04__37.91__58.6,-37.91,-58.6,2017/11/4,2018/3/10,126,
2017_11_04__37.91__58.6,-37.91,-58.6,2017/11/4,2018/3/10,126,
2017_11_04__37.91__58.6,-37.91,-58.6,2017/11/4,2018/3/10,126,
2017_10_30__38.49__58.71,-38.49,-58.71,2017/10/30,2018/3/10,131,
2017_10_30__38.49__58.71,-38.49,-58.71,2017/10/30,2018/3/10,131,
2017_10_30__38.49__58.71,-38.49,-58.71,2017/10/30,2018/3/10,131,
2017_11_02__37.88__57.84,-37.88,-57.84,2017/11/2,2018/3/10,128,
2017_11_02__37.88__57.84,-37.88,-57.84,2017/11/2,2018/3/10,128,
2017_11_02__37.88__57.84,-37.88,-57.84,2017/11/2,2018/3/10,128,
2005_04_29_40.06__88.23,40.06,-88.23,2005/4/29,2005/9/28,,
2005_04_29_40.06__88.23,40.06,-88.23,2005/4/29,2005/9/28,,
2005_04_29_40.06__88.23,40.06,-88.23,2005/4/29,2005/9/28,,
2005_04_29_40.06__88.23,40.06,-88.23,2005/4/29,2005/9/28,,
2005_04_29_40.06__88.23,40.06,-88.23,2005/4/29,2005/9/28,,
2005_04_29_40.06__88.23,40.06,-88.23,2005/4/29,2005/9/28,,
2005_04_25_51.67_18.17,51.67,18.17,2005/4/25,2005/10/26,184,
2005_04_25_51.67_18.17,51.67,18.17,2005/4/25,2005/10/26,184,
2005_04_25_51.67_18.17,51.67,18.17,2005/4/25,2005/10/26,184,
2016_04_25_51.67_18.17,51.67,18.17,2016/4/25,2016/10/26,184,
2016_04_25_51.67_18.17,51.67,18.17,2016/4/25,2016/10/26,184,
2016_04_25_51.67_18.17,51.67,18.17,2016/4/25,2016/10/26,184,
2017_05_01_51.67_18.17,51.67,18.17,2017/5/1,2017/11/15,198,
2017_05_01_51.67_18.17,51.67,18.17,2017/5/1,2017/11/15,198,
2017_05_01_51.67_18.17,51.67,18.17,2017/5/1,2017/11/15,198,
1994_06_28_10.28_9.82,10.28,9.82,1994/6/28,1994/10/16,,
